:5
BAT1:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
G***:8
J1:1
L1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RF1:1
RF2:1
SW1:1
U1:1
U2:1
U3:1
U4:1
U5:1
USB1:1
